"","Culinary Knowledge","Culinary Skills","Algeria","Argentina","Australia","Belgium","Herzegovina","Brazil","Cameroon","Chile","Colombia","Rica","Croatia","Ecuador","England","France","Germany","Ghana","Greece","Honduras","Iran","Italy","Coast","Japan","Mexico","Netherlands","Nigeria","Portugal","Russia","Korea","Spain","Switzerland","States","Uruguay","China","India","Thailand","Turkey","Cuba","Ethiopia","Vietnam","Ireland","Gender","Age","Household.Income","Education","Census Location"
"362","Novice","Low",NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"4","3",NA,NA,"3",NA,NA,"5",NA,"3","4",NA,NA,NA,NA,NA,"3",NA,"5",NA,"4",NA,NA,NA,NA,NA,NA,"3","Female","30-44","$25,000 - $49,999","Bachelor degree","South Atlantic"
"363","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","5","5",NA,"5",NA,"4","5",NA,"4","5",NA,NA,NA,NA,"3","3","4","3",NA,"3","4","3",NA,"2","4","3",NA,"Female","30-44","$150,000+","Graduate degree","Pacific"
"364","Intermediate","Low",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3",NA,NA,NA,NA,NA,"3",NA,"3","3",NA,NA,NA,NA,NA,"3",NA,"5",NA,"3","3",NA,NA,NA,NA,NA,"3","Male","45-60","$0 - $24,999","Bachelor degree","East North Central"
"365","Intermediate","Moderate",NA,"3","3","4",NA,NA,NA,"3",NA,NA,NA,NA,"4","3","4",NA,"4",NA,NA,"4",NA,"4","4",NA,NA,NA,NA,NA,"3","4","5",NA,"3","3","4","3",NA,NA,NA,"4","Female","45-60","$100,000 - $149,999","Bachelor degree","East North Central"
"366","Intermediate","High","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3",NA,NA,NA,NA,"4",NA,"2","4",NA,"3",NA,NA,NA,"4",NA,"3",NA,"5","4","4","4",NA,"3","5",NA,"Male","18-29","$50,000 - $99,999","Graduate degree","East North Central"
"367","Intermediate","Moderate",NA,"3",NA,NA,NA,"4",NA,NA,NA,NA,NA,"3","4","4","1",NA,"4","3",NA,"4","4","2","3","4","3","4","4","3","4","3","3","3","4",NA,"3",NA,"3","3","4","4","Male","45-60","$0 - $24,999","Some college or Associate degree","Mountain"
"368","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,"3",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,"4",NA,NA,NA,NA,NA,NA,"5","Female","> 60","$50,000 - $99,999","High school degree","South Atlantic"
"369","Intermediate","Moderate",NA,"3","2",NA,"3",NA,"5","3","3",NA,"2",NA,"1","4","2",NA,"4",NA,NA,"3",NA,"3","3","3",NA,"4","2","3","4","3","3",NA,"3","4","5","5","4","4","5","2","Female","45-60","","Graduate degree","East North Central"
"370","Expert","High","5","1","2","2","2","5","1","1","5","3","5","2","2","2","3","2","1","2","1","3",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,"5",NA,"2","1",NA,NA,NA,NA,"1",NA,"Female","18-29","","High school degree","West South Central"
"371","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","18-29","$50,000 - $99,999","High school degree","West North Central"
"372","Intermediate","High",NA,"5","2","4","3","5",NA,"4",NA,NA,NA,NA,"2","5","2",NA,"5",NA,"4","5",NA,"5","5",NA,NA,NA,"2",NA,"5",NA,"4",NA,"5","5","5","5","5",NA,"5","3","Female","30-44","$0 - $24,999","Bachelor degree","Mountain"
"373","Intermediate","High","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"5","4",NA,NA,NA,NA,NA,"2",NA,"4",NA,"5","4","4",NA,"3",NA,"2","4","","","","",""
"374","Intermediate","Moderate",NA,"3","3","4",NA,"3",NA,NA,"3","3",NA,NA,"4","4","4",NA,"3","3",NA,"4",NA,"3","5",NA,"1","3",NA,NA,"3",NA,"5",NA,"4","3","3",NA,"4",NA,"3","5","Male","30-44","$100,000 - $149,999","Some college or Associate degree","East North Central"
"375","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"2",NA,"4",NA,NA,"3",NA,"2","5",NA,NA,NA,"2","2",NA,NA,"4",NA,"3","2","3",NA,NA,NA,"3",NA,"Male","30-44","$25,000 - $49,999","Bachelor degree","West North Central"
"376","Novice","Low",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,"3","2",NA,NA,"3",NA,NA,"3",NA,"3","5",NA,NA,NA,NA,"4",NA,"3","4",NA,"4","3","3",NA,NA,NA,NA,"4","Male","18-29","$50,000 - $99,999","Less than high school degree","Mountain"
"377","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","2",NA,"3",NA,NA,"4",NA,"3","4",NA,NA,NA,NA,"2","4",NA,"5",NA,"5","2","3",NA,"3",NA,"2","3","Female","> 60","$50,000 - $99,999","Graduate degree","East North Central"
"378","Intermediate","Moderate",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","4",NA,"2",NA,NA,"4",NA,"4","4","4",NA,NA,"3",NA,"3",NA,"4",NA,"4","2","3",NA,NA,NA,NA,"4","Male","45-60","$25,000 - $49,999","Some college or Associate degree","East North Central"
"379","Intermediate","Moderate","2",NA,"3","4",NA,"3","2","3","2","3",NA,"2","2","5","2",NA,"3","3","3","4",NA,"2","3","3","3","3","3","2","4","4","4","3","2","4","2","3","4","3","2","2","Female","45-60","$50,000 - $99,999","Graduate degree","West South Central"
"380","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,"3",NA,NA,"3",NA,"2","3",NA,NA,NA,NA,NA,NA,NA,"4",NA,"5",NA,NA,NA,NA,NA,NA,NA,"Male","45-60","$50,000 - $99,999","Graduate degree","West North Central"
"381","Intermediate","Moderate",NA,"3",NA,NA,NA,"3",NA,NA,NA,NA,NA,"4","3","4","2",NA,"4",NA,"4","5",NA,"2","5",NA,NA,NA,NA,"3","5",NA,"3",NA,"5","5","5","4","3",NA,"5","3","Female","45-60","","Graduate degree","Middle Atlantic"
"382","Novice","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4","4",NA,"4",NA,"5","4",NA,"4","4",NA,NA,NA,NA,"3",NA,NA,"3",NA,"5","5","5",NA,NA,"4","4","5","Male","18-29","","Bachelor degree","West South Central"
"383","Intermediate","Moderate",NA,"3","3","3",NA,"3",NA,NA,NA,"3",NA,NA,"2","3","3","1","4",NA,NA,"5",NA,"4","5","3",NA,"3","2","3","4","3","4","3","4","5","5","3","3","3","4","2","Male","30-44","$50,000 - $99,999","Graduate degree","Middle Atlantic"
"384","Intermediate","Moderate",NA,"3",NA,NA,NA,"3",NA,NA,NA,"3",NA,NA,NA,"4","3",NA,"5",NA,NA,"4",NA,"1","5",NA,NA,"3","1","2","4","3","3",NA,"5","1",NA,"2",NA,NA,"2","3","Female","45-60","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"385","Intermediate","Moderate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3",NA,NA,NA,"2",NA,"3","3","2",NA,"4","3","3","2","3",NA,"2","3","","","","",""
"386","Intermediate","Low",NA,"3","3",NA,NA,"3",NA,NA,"3",NA,NA,NA,NA,NA,"3",NA,"5","3",NA,"5",NA,"3","4",NA,NA,NA,NA,NA,"3",NA,"4",NA,"3","4",NA,"4","4",NA,"3",NA,"Male","30-44","$0 - $24,999","Less than high school degree","South Atlantic"
"387","Intermediate","Moderate",NA,NA,"1","4",NA,NA,NA,"4",NA,NA,NA,NA,"1",NA,"1",NA,"3",NA,"5","5",NA,NA,"5",NA,NA,NA,"2","2","4",NA,"5",NA,"3","5","4",NA,"4",NA,"1",NA,"Male","30-44","$0 - $24,999","Graduate degree","Pacific"
"388","Intermediate","High",NA,"3",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"4",NA,"5",NA,"5",NA,NA,"4",NA,"5","5",NA,NA,NA,NA,NA,"5",NA,"5",NA,"5","5","4",NA,"5",NA,NA,"4","Female","45-60","$100,000 - $149,999","Graduate degree","Pacific"
"389","Intermediate","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","3","3",NA,"3",NA,NA,"3",NA,"3","3",NA,NA,NA,NA,NA,"3",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","> 60","$50,000 - $99,999","High school degree","Pacific"
"390","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","4",NA,"5",NA,NA,"5",NA,"3","3",NA,NA,NA,NA,NA,NA,"3","5",NA,"3","4","3","3",NA,NA,"3","4","Female","> 60","","Some college or Associate degree","South Atlantic"
"391","Intermediate","High",NA,"4",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"4","5","4",NA,"4",NA,NA,"5",NA,"3","3","3",NA,"3","4","3","4","3","4",NA,"4","3","4",NA,"3",NA,"4","3","Female","> 60","","Graduate degree","New England"
"392","Intermediate","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3",NA,"3",NA,NA,"4",NA,"4","3",NA,NA,NA,"4","4",NA,NA,"3",NA,"4","4","4",NA,NA,NA,NA,"4","Female","30-44","$50,000 - $99,999","Some college or Associate degree","East North Central"
"393","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"3",NA,"3",NA,"4",NA,NA,"4",NA,NA,"3",NA,NA,NA,NA,NA,"4",NA,"4",NA,"3","3",NA,NA,"3",NA,"3","3","Female","30-44","","Some college or Associate degree","South Atlantic"
"394","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,NA,"Female","45-60","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"395","Intermediate","Low",NA,"3","4","4",NA,"3",NA,NA,"3","3",NA,"3","2","4","5",NA,"3",NA,NA,"3",NA,"4","4","3",NA,NA,NA,"4","3","4","4",NA,"4","2","4",NA,NA,NA,"3","3","Male","> 60","$50,000 - $99,999","Bachelor degree","South Atlantic"
"396","Novice","Low",NA,"2",NA,NA,"3","2",NA,"2",NA,NA,"3","2","2","2","3",NA,"4",NA,NA,"5",NA,"5","5",NA,NA,NA,"3","2",NA,NA,"5",NA,"4","1","2",NA,"2",NA,"2","3","Female","30-44","$50,000 - $99,999","Bachelor degree","Pacific"
"397","Intermediate","High",NA,"3",NA,NA,NA,NA,NA,NA,"3","4",NA,NA,"2","5","4",NA,"4","4","4","5",NA,"4","5",NA,NA,"4","3","3","4",NA,"4",NA,"4","5","4","3","4","3","4","3","Female","30-44","$100,000 - $149,999","Graduate degree","Middle Atlantic"
"398","Advanced","High",NA,"3","3","4",NA,"4","4","4","4","3",NA,"4","2","2","2","4","5","3","4","3",NA,"5","5","3",NA,"4","4","3","4","4","4",NA,"2","4","4","4","4","5","5","2","Female","30-44","$150,000+","Graduate degree","West South Central"
"400","Intermediate","Moderate","3","4","2","4",NA,"4","4","3","3",NA,"2",NA,"1","3","3","3","2","3",NA,"5",NA,"4","4","3",NA,"4","2","2","4","3","2",NA,"4","4","4","2","3","3","3","3","Male","45-60","$150,000+","Graduate degree","Pacific"
"401","Intermediate","Moderate",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4",NA,"4",NA,NA,"4",NA,"4","4",NA,NA,"3",NA,NA,"3",NA,"5",NA,"3","3","2","3","3",NA,NA,"3","Female","45-60","$100,000 - $149,999","Some college or Associate degree","South Atlantic"
"402","Novice","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"5",NA,NA,"5",NA,"4","5",NA,NA,NA,NA,NA,NA,NA,"3",NA,"3","3",NA,NA,NA,NA,NA,NA,"Male","18-29","$0 - $24,999","Some college or Associate degree","Pacific"
"403","Novice","Moderate",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"4",NA,"5","4",NA,NA,NA,NA,"5",NA,NA,"4",NA,"5",NA,"4",NA,NA,NA,"5",NA,"Male","18-29","$25,000 - $49,999","High school degree","Pacific"
"404","Novice","Moderate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"5","3","4","3",NA,"4","4",NA,"5","5",NA,"5","5","4",NA,NA,NA,"3",NA,"","","","",""
"405","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"4",NA,NA,"5",NA,"5","4",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,"5",NA,NA,NA,NA,"4","Male","30-44","","Some college or Associate degree","New England"
"406","Intermediate","Moderate",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","4",NA,"4",NA,NA,"5",NA,"4","5",NA,NA,"4","4",NA,"4",NA,"5",NA,"3","1","1",NA,NA,"3","2","3","Female","30-44","$50,000 - $99,999","Graduate degree","East North Central"
"407","Novice","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"5",NA,"3",NA,NA,NA,"2",NA,NA,"3","Female","45-60","$50,000 - $99,999","High school degree","East North Central"
"408","Intermediate","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"4",NA,NA,"4",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","18-29","$25,000 - $49,999","High school degree","East North Central"
"409","Intermediate","Moderate",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3",NA,"3",NA,NA,"3",NA,"4","3",NA,NA,NA,"3","3","3",NA,"3",NA,"5","4","4",NA,"3","3","3","3","Male","45-60","$100,000 - $149,999","Some college or Associate degree","West North Central"
"410","Intermediate","High",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"3","5","5",NA,"4",NA,"4","5",NA,"4","5",NA,NA,NA,"2",NA,"4",NA,"3",NA,"4","5","5",NA,"3",NA,NA,"3","Female","18-29","","High school degree","West South Central"
"411","Novice","Moderate",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"4",NA,"3","4",NA,NA,"5",NA,NA,"4",NA,NA,"4","5",NA,NA,"4",NA,"5",NA,"4",NA,NA,NA,NA,"4",NA,NA,NA,"4","Male","> 60","$100,000 - $149,999","Bachelor degree","Pacific"
"412","Intermediate","Moderate",NA,"3","3","4",NA,"4",NA,NA,NA,NA,NA,NA,"4","5","4",NA,"5",NA,NA,"5",NA,"4","4","4",NA,"4",NA,"5","4","3","4",NA,"5","3","4","4",NA,NA,"4","4","Female","> 60","$150,000+","Graduate degree","South Atlantic"
"413","Novice","Moderate",NA,"4",NA,"3",NA,"4",NA,"4","3",NA,NA,NA,"2","5","2",NA,"5","3","3","3",NA,"5","3","3",NA,"4","3","3","4","3","3",NA,"3","3","4","4","4","3","3","3","Female","30-44","","Graduate degree","Middle Atlantic"
"414","Intermediate","High",NA,"3","4","3",NA,"4",NA,NA,"3","4",NA,"3","3","5","3","3","4",NA,"3","4","4","5","4","4","3","4","5","4","3","4","4",NA,"4","4","5","4","3",NA,"4","3","Female","45-60","","Graduate degree","Middle Atlantic"
"415","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"2",NA,"2",NA,NA,"5",NA,"3","3",NA,NA,NA,NA,NA,NA,NA,"4",NA,"3",NA,"4",NA,NA,NA,NA,"3","Female","45-60","$50,000 - $99,999","Graduate degree","Middle Atlantic"
"416","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"4",NA,"3",NA,NA,"4",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"4",NA,"3","2",NA,NA,NA,"3",NA,NA,"Female","18-29","$0 - $24,999","Some college or Associate degree","Middle Atlantic"
"417","Intermediate","High",NA,NA,NA,"4",NA,NA,NA,"4",NA,NA,NA,NA,"3","5","4",NA,"5",NA,"4","4",NA,"4","4",NA,NA,"4","3","2","5",NA,"5",NA,"5","5","4","4","4","3","4","4","Female","45-60","$150,000+","Bachelor degree","South Atlantic"
"418","Intermediate","Moderate",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"3","3","3",NA,"3",NA,NA,"4",NA,NA,"3","3",NA,NA,"3",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"3","Female","> 60","","Bachelor degree","Mountain"
"419","Advanced","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","> 60","$25,000 - $49,999","Graduate degree","South Atlantic"
"420","Intermediate","Low","2","3","2","4",NA,"2","2","3","2","3",NA,NA,"3","4","4",NA,"4","2",NA,"4",NA,"3","4",NA,NA,NA,NA,NA,"3",NA,"3",NA,"3",NA,NA,NA,NA,NA,NA,NA,"Male","18-29","$25,000 - $49,999","High school degree","West South Central"
"421","Novice","Moderate",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3",NA,"4",NA,NA,"5",NA,"3","5",NA,NA,NA,NA,NA,"4","4","5",NA,"4","3","4",NA,"3",NA,NA,"3","Female","30-44","","Bachelor degree","West South Central"
"422","Intermediate","High",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3",NA,NA,NA,NA,NA,NA,"3",NA,"4","4",NA,NA,NA,NA,NA,NA,NA,"3",NA,"4",NA,"4",NA,NA,NA,"4",NA,"Female","45-60","$25,000 - $49,999","Bachelor degree","Pacific"
"424","Intermediate","High",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3",NA,"4",NA,NA,"5",NA,"5","3",NA,NA,NA,NA,NA,NA,NA,"5",NA,"4","3","4",NA,NA,NA,NA,NA,"Female","> 60","","Bachelor degree","South Atlantic"
"425","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","4",NA,"3",NA,NA,"3",NA,"3","3",NA,NA,NA,"3","3","3",NA,"2",NA,"3",NA,NA,NA,NA,NA,NA,"3","Male","30-44","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"426","Intermediate","Moderate",NA,"3",NA,"4",NA,"4",NA,"3",NA,"4",NA,NA,"2","5","3",NA,"4",NA,NA,"5",NA,"3","4","3",NA,NA,NA,NA,"3","3","5",NA,"4","3","4",NA,"3","2","4","3","Female","45-60","$50,000 - $99,999","Some college or Associate degree","Pacific"
"428","Intermediate","Moderate",NA,NA,"4","2",NA,NA,NA,"4","3","3",NA,NA,NA,"4","2",NA,"5","3",NA,"4",NA,"4","4",NA,NA,"3",NA,"3","2",NA,"3",NA,"5","3","4",NA,"2",NA,"2",NA,"Female","30-44","$25,000 - $49,999","High school degree","South Atlantic"
"429","Intermediate","Moderate",NA,NA,"3",NA,NA,"3",NA,NA,"3",NA,NA,NA,"4","3","3",NA,"3",NA,NA,"5","4","4","3",NA,NA,"3","3","4","4","3","4",NA,"4","3","3",NA,"3",NA,"3","4","Male","> 60","$0 - $24,999","Graduate degree","West North Central"
"430","Intermediate","Moderate","2","4","3","4","2","4","3","3",NA,"3","2","3","2","4","4","2","3","2",NA,"4",NA,"3","4","5",NA,"4","2","2","4","4","4",NA,"3","2","4","2","3","3","2","3","Female","45-60","$150,000+","Graduate degree","Pacific"
"431","Intermediate","High",NA,"5","4","4",NA,"4",NA,"3","4","3",NA,NA,"3","5","3",NA,"5","3",NA,"5",NA,"4","5","3",NA,"4","2","3","5","4","5",NA,"4","3","4",NA,"5",NA,"2","5","Male","45-60","$25,000 - $49,999","Bachelor degree","West North Central"
"432","Intermediate","Moderate",NA,NA,"3","4",NA,NA,NA,NA,NA,NA,NA,NA,"3","3","4",NA,"4",NA,NA,"4",NA,"4","4",NA,NA,"3",NA,"2","3","3","3",NA,"1","5","1",NA,NA,NA,"2",NA,"Male","30-44","$25,000 - $49,999","Bachelor degree","Mountain"
"433","Intermediate","Moderate",NA,NA,"3",NA,NA,"3",NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,"3",NA,NA,"4",NA,"3","3",NA,NA,NA,"3",NA,NA,NA,"3",NA,"4","3","4",NA,"3",NA,"3","3","Male","30-44","","Some college or Associate degree","Pacific"
"434","Advanced","High","3","4","4","3","3","3",NA,"4","4","4","4","3","4","4","3",NA,"4","3",NA,"4",NA,"3","4","3",NA,"4",NA,NA,"4","3","4",NA,"3","3","3","4",NA,NA,"4","4","Male","> 60","$100,000 - $149,999","Some college or Associate degree","Pacific"
"435","Intermediate","High",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"2","5","3",NA,"4",NA,NA,"5",NA,"4","4","3",NA,NA,NA,"4","4",NA,"4",NA,"3","2","4",NA,"4",NA,"4","3","Female","> 60","$50,000 - $99,999","Some college or Associate degree","Mountain"
"436","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,"4",NA,"1","4",NA,"5","4",NA,NA,NA,NA,NA,"3","4","5",NA,"4","2",NA,NA,NA,NA,NA,NA,"Male","> 60","","Some college or Associate degree","South Atlantic"
"437","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3",NA,NA,NA,NA,"3",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"2",NA,NA,"3","1",NA,NA,"Male","> 60","$25,000 - $49,999","Bachelor degree","West South Central"
"438","Novice","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","> 60","$0 - $24,999","High school degree","West North Central"
"439","Novice","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","2",NA,"4",NA,NA,"4",NA,"2","4",NA,NA,NA,"3",NA,NA,NA,"3",NA,"3","4","5","4",NA,"4",NA,NA,"Female","> 60","","Bachelor degree","East South Central"
"440","Expert","High","3","5","3","3","4","5","3","4","4","4","4","4","2","5","3",NA,"4","4","3","5","3","5","5","3","2","4","2","4","5","3","5","4","5","3","5","3","3","4","4","3","Female","> 60","$50,000 - $99,999","Graduate degree","West South Central"
"441","Intermediate","Moderate",NA,"3","3","3","2","4",NA,"3","3","3",NA,"3","3","4","3",NA,"3",NA,NA,"4",NA,NA,"4","3",NA,NA,NA,"2","3","3","4",NA,"3","2","2",NA,NA,NA,"2",NA,"Female","45-60","","Bachelor degree","East North Central"
"443","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3",NA,NA,NA,NA,"4","3",NA,"4","3",NA,NA,NA,NA,"4",NA,NA,"3",NA,"4","4","4",NA,NA,NA,"5",NA,"Male","18-29","","Bachelor degree","West South Central"
"444","Intermediate","High",NA,"5",NA,"5",NA,"5",NA,"4",NA,NA,NA,"5","2","5","4",NA,"4","5","4","5",NA,"5","5",NA,NA,NA,"4","4","4",NA,"5",NA,"4","4","5",NA,"4","4","4","4","Female","18-29","$0 - $24,999","Graduate degree","Pacific"
"446","Intermediate","High","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"3","4",NA,NA,NA,"3",NA,NA,NA,"3",NA,"3","4","5","4",NA,"4",NA,NA,"","","","",""
"447","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"4",NA,"3","5",NA,NA,NA,NA,NA,NA,NA,"4",NA,"3",NA,"3",NA,NA,NA,NA,NA,"Male","18-29","$0 - $24,999","High school degree","Pacific"
"448","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,"4","3","4",NA,"3",NA,NA,"4",NA,"4","5",NA,NA,NA,NA,NA,"3",NA,"4",NA,"4","3","5",NA,NA,"3","4","3","Male","45-60","$50,000 - $99,999","Graduate degree","West North Central"
"449","Intermediate","High","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"3","4","3",NA,NA,"2",NA,NA,"3","3",NA,"4","4","4","4","4",NA,"3","3","","","","",""
"450","Intermediate","Moderate",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3",NA,NA,NA,NA,"3",NA,NA,"3",NA,NA,NA,NA,"3",NA,NA,"5",NA,NA,"3",NA,NA,NA,NA,NA,NA,"Female","> 60","$0 - $24,999","High school degree","Pacific"
"451","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","3","3",NA,"4",NA,NA,"5",NA,"4","4",NA,NA,"3",NA,"4",NA,NA,"5",NA,"4","4","5",NA,"4",NA,NA,"4","Male","45-60","$50,000 - $99,999","Bachelor degree","East South Central"
"452","Novice","Moderate",NA,NA,"4","3",NA,"3","3","4","3","3",NA,"2","3","4","3",NA,"3",NA,"2","5",NA,"4","4","3",NA,NA,NA,"2","4","3","5",NA,"4","1","4",NA,"4",NA,"2","3","Female","45-60","$50,000 - $99,999","Some college or Associate degree","West South Central"
"453","Novice","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,NA,"Male","30-44","$50,000 - $99,999","High school degree","West North Central"
"454","Intermediate","Moderate",NA,NA,NA,NA,NA,"3",NA,"4",NA,"4",NA,NA,"4","4","4",NA,"4",NA,NA,"5",NA,"4","5",NA,NA,NA,NA,NA,"4",NA,"5",NA,"4","4","5",NA,"3",NA,NA,"4","Female","45-60","","Some college or Associate degree","Mountain"
"455","Intermediate","Moderate","4","5","5","4","3","5","4","4","4","4","3","4","4","4","5","4","5","4","2","5","5","5","5","4","4","4","3","5","4","5","5","4","5","3","4","5","4","2","5","3","Male","45-60","$25,000 - $49,999","Some college or Associate degree","West South Central"
"456","Intermediate","Moderate","4","4",NA,"4",NA,"4",NA,"3","4","4",NA,"3","2","5","3","2",NA,NA,"3","5",NA,"3","3","3",NA,"4","4","2","5","3","3","4","3","3","3","4","4","3","3","2","Female","45-60","","Graduate degree","East North Central"
"457","Novice","Moderate",NA,NA,"3","3",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","4",NA,"3",NA,NA,"3",NA,"3","3",NA,NA,NA,"3",NA,NA,"3","5",NA,"3","3","3",NA,NA,NA,NA,"3","Female","> 60","$25,000 - $49,999","Graduate degree","Mountain"
